nome_item	subtitle	valor_original	valor_pedido	condition	link_compra	link_imagem	link_real_imagem	availability
TV bench	IKEA	199	99	Excellent	https://www.ikea.com/de/de/p/hemnes-tv-bank-weiss-gebeizt-hellbraun-50413526/	https://www.ikea.com/de/de/images/products/hemnes-tv-bank-weiss-gebeizt-hellbraun__0583377_pe671187_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczMU_q-7RLP8znBedoglsMdIrvIJrD8Rgx6Fofpilg5Zr9-2UdIGOU3MmQZu93Qn7jXib_b9DNQ5VktqbBp2zeD8T5FdHcG1Wg-9lpr26vkwPvf4sAuVZICxoz7ad-VHyxFuL3Z1QaPoR4VrkmOWTkTtRg=w2168-h1626-s-no-gm?authuser=0	No
Chest of drawers	IKEA	149	79	Excellent	https://www.ikea.com/de/de/p/songesand-kommode-mit-4-schubladen-weiss-10366777/	https://www.ikea.com/de/de/images/products/songesand-kommode-mit-4-schubladen-weiss__0552196_pe658953_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczOBcvoGbM6FGNvq0CfEalV8KtaA3ccu15HZZDSjDeJuVpI-P94mR6M1v1ySFjLMJWSCZbEryaHDS_IrY5PEqqrPz81Z1UKuhjdwtABlbjYVNXuOM3Fq1n5C9q2RGspMIr_V-1T7i0rWbZ-0ZyGiQ5LwiA=w1220-h1626-s-no-gm?authuser=0	No
Outdoors table	IKEA	29	15	Excellent	https://www.ikea.com/de/de/p/taernoe-tisch-aussen-schwarz-hellbraun-lasiert-70095429/	https://www.ikea.com/de/de/images/products/taernoe-tisch-aussen-schwarz-hellbraun-lasiert__0735751_pe740159_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczPzyS6whVfkNGllrUSj0-qj2NnLV6A6B7KWxPUak66ZW7X34fXeXeWSL9M_M7HSTLf12Tiuxd5DxyfczRmPEM0BfAoW0GEIWs807728Uq5zA_X5p10IIb4vedGhnJiQvExbcqlSmG-TSgXtXNmJfwRklQ=w2168-h1626-s-no-gm?authuser=0	No
Outdoors +2 chairs	IKEA	30	15	Excellent	https://www.ikea.com/de/de/p/taernoe-stuhl-aussen-faltbar-schwarz-hellbraun-lasiert-90095428/	https://www.ikea.com/de/de/images/products/taernoe-stuhl-aussen-faltbar-schwarz-hellbraun-lasiert__0728354_pe736202_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczN4E0KZVM3-w-fOrntFDDb5N1-veQzp-TVfQnzkOsDaXa4lXoM1QLQ1l4s5FcysYfarN5KL9vQVTM_35i18rU8ksBMWkUj_bOTzV-Mz1FMlhoe1PEvECVnPmcw0DTY3jhu57x9ndnjsgqPm3UzbWgXoLg=w1220-h1626-s-no-gm?authuser=0	No
White shelf	IKEA	99	59	Very good	https://www.ikea.com/de/de/p/kallax-regal-weiss-10409932/	https://www.ikea.com/de/de/images/products/kallax-regal-weiss__0601747_pe681619_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczO4kOE7Lw5xIyJlc6YWqFOke9YyJW3l8wfA6RBUxkX0oiORjw_sWklAdrUYa0VaE4VOJYYnHCl6spOD7aAIFRkuxALkRhC8xRlSmULZjIGOupQLJOiAblYWu-NgrJlXJlDQ_Iy0vl_ap0zckZ434KYWwQ=w1220-h1626-s-no-gm?authuser=0	Yes
2 Bed boxes	IKEA	78	35	Excellent	https://www.ikea.com/de/de/p/fredvang-bettkasten-ablage-weiss-10493638/	https://www.ikea.com/de/de/images/products/fredvang-bettkasten-ablage-weiss__0962752_pe808963_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczNqRoXjAeb4VDgIRUL-Rod2IU_XmF_BxMVakTt0QiiAjuQMNFMccAI5OWrGiNLLSaqcrjGBSaxINtEoAKNeXTPWvK49gBKge1pK7jqtu1bgRNKScBtwURu6lEnEeTnYCSptOKAr0h0XgX07aq1LI6KIMQ=w2168-h1626-s-no-gm?authuser=0	No
Set of 4 tables	IKEA	99	59	Excellent	https://www.ikea.com/de/de/p/fridnaes-satztische-mit-hockern-4er-set-schwarz-birkenachbildung-70504276/	https://www.ikea.com/de/de/images/products/fridnaes-satztische-mit-hockern-4er-set-schwarz-birkenachbildung__1038547_pe839730_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczM2iZ3rqvIMqZur7w1aRLxderkTh2dI2goW7mdJLaNQRBRPOhVU1z929aAWsEGhkjiHQoVEriH9FqKdPvJAJpREHslaY1vlhMpfzacpWBufCrdAaPdBRQgXFra2pD1t_N1IafYyY8UcpD4HrBqmblYhbQ=w2168-h1626-s-no-gm?authuser=0	No
Wooden shelf	IKEA	19	10	Very good	https://www.ikea.com/de/de/p/albert-regal-nadelholz-00111994/	https://www.ikea.com/de/de/images/products/albert-regal-nadelholz__0088996_pe220776_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczOR5SacrvcJjozdsPObUKq7QQw7TXjDLVhIXKq-2jufD9xIrogZf7rXSYyc_yAuXPwt70icHHPfAg0eIEmiZ6AAOXMU6kb_oSfwyrQMOUmcaYjmu6m9roFdEb4m3mIOWBNLqhfcQZvOqct9SQGq2WFjHA=w1220-h1626-s-no-gm?authuser=0	Yes
Floor Lamp Alum Chrome	IKEA	19	10	Excellent	https://www.ikea.com/de/de/p/lersta-stand-leseleuchte-aluminium-chromeffekt-00110640/	https://www.ikea.com/de/de/images/products/lersta-stand-leseleuchte-aluminium-chromeffekt__0606034_pe681992_s5.jpg	https://www.ikea.com/de/de/images/products/lersta-stand-leseleuchte-aluminium-chromeffekt__0606034_pe681992_s5.jpg	No
2 Stools	IKEA	40	19	Excellent	https://www.ikea.com/de/de/p/kyrre-hocker-birke-60416925/	https://www.ikea.com/de/de/images/products/kyrre-hocker-birke__0714153_pe729952_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczP_AaRukycxFVgW6JlqqswwBtH0luW5DFVJWVEk1YdFfpWt0PXSNoy_4MgqEUpuOqQyTcUGxH3vM6Gg283gGBsFphzbNM__cNZZ9z8R1UcVCu6clIl0BpyJ5cei_uQW2oplumYXBXwVJ3ycZneT-BFqhw=w1220-h1626-s-no-gm?authuser=0	No
Black Flower Stand 	IKEA	13	5	Very good	https://www.ikea.com/de/de/p/olivblad-blumenstaender-drinnen-draussen-schwarz-10486652/	https://www.ikea.com/de/de/images/products/olivblad-blumenstaender-drinnen-draussen-schwarz__1010781_pe828330_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczP1dcRBPqbK_OGT1KTRa6TaDXhjFD9Q7hz19xWtmsIMurg2ulH0bUBqW9k_bMRWUf35IGJnLIpwFtHnOanVh-Skddqodofk1v9pIJwvyt6APklNLJpSYJjjA5SfmrvdTKZNUG0uVkOL0M6x5S_R9EmXzw=w1220-h1626-s-no-gm?authuser=0	No
Wooden Bench	IKEA	69	30	Good	https://www.ikea.com/de/de/p/perjohan-bank-mit-fach-kiefer-60485339/	https://www.ikea.com/de/de/images/products/perjohan-bank-mit-fach-kiefer__0948199_pe798912_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczO1YgcYxpWIvz1i-kNln25C0JA4WUxtAEhw1rljIRqtNJP4XHm38AnGYOMG-Dt9R15_Z8v0tsjCRj7N-y6EHJFWYVw-B1IBEI4RQF_et9xaVH9FcdXOQXgsZ-5d_AM3Jv1Zi0YU8c8QwMulpDaFTi8_GA=w2168-h1626-s-no-gm?authuser=0	No
